node,centrality,community,density,eign,betwness,closeness,volatility,name,type,anchor_name
26,6,0,0.1403769841269841,0.0261402794521032,0.0006175853240378,0.2922013820335636,0.0,User_26,stable,
124,6,0,0.1403769841269841,0.0317280824232868,0.0006955209093718,0.298838970217062,0.0,User_124,stable,
98,7,0,0.1403769841269841,0.0382326360986235,0.0008575008067695,0.3020408163265306,0.0,User_98,stable,
317,7,0,0.1403769841269841,0.0255745563331227,0.0021926384806077,0.2951146560319043,0.0,User_317,stable,
492,7,0,0.1403769841269841,0.027440496621034,0.0011619282933715,0.2967418546365915,0.0,User_492,stable,
285,8,0,0.1403769841269841,0.0503221679865657,0.0004406926022132,0.2936507936507936,0.0,User_285,stable,
355,8,0,0.1403769841269841,0.0354040244305544,0.0049997775284789,0.3220892274211099,0.0,User_355,stable,
423,8,0,0.1403769841269841,0.032388191521713,0.0021134712770185,0.3039014373716632,0.0,User_423,stable,
6,9,0,0.1403769841269841,0.0330717583041067,0.0008456554274991,0.2958520739630185,0.0,User_6,stable,
9,9,0,0.1403769841269841,0.0377992155421775,0.0037490662888283,0.310598111227702,0.0,User_9,stable,
184,9,0,0.1403769841269841,0.034250203490058,0.0036682983649476,0.3130618720253834,0.0,User_184,stable,
386,9,0,0.1403769841269841,0.0329344957667795,0.0037623954063031,0.2980866062437059,0.0,User_386,stable,
398,9,0,0.1403769841269841,0.0455159440422454,0.0006671743495992,0.286682808716707,0.0,User_398,stable,
417,9,0,0.1403769841269841,0.0350113566765452,0.0020050269674916,0.30546955624355,0.0,User_417,stable,
460,9,0,0.1403769841269841,0.0360776773398236,0.0026102380223296,0.321215409658166,0.0,User_460,stable,
498,9,0,0.1403769841269841,0.0355692455001754,0.002549877707155,0.3021949974476773,0.0,User_498,stable,
567,9,0,0.1403769841269841,0.03220906325549,0.0038975983813097,0.3020408163265306,0.0,User_567,stable,
13,10,0,0.1403769841269841,0.0354125941846487,0.0020188461101423,0.2985375693393847,0.0,User_13,stable,
33,10,0,0.1403769841269841,0.0478590688193993,0.0018682425398943,0.3119072708113804,0.0,User_33,stable,
163,10,0,0.1403769841269841,0.0346120886400353,0.0023608009005781,0.3135593220338983,0.0,User_163,stable,
175,10,0,0.1403769841269841,0.0468339400399874,0.0024702766884718,0.3145589798087141,0.0,User_175,stable,
298,10,0,0.1403769841269841,0.0398330179189015,0.0018568489783085,0.3021949974476773,0.0,User_298,stable,
424,10,0,0.1403769841269841,0.0409070848353602,0.0024795394691774,0.310272536687631,0.0,User_424,stable,
501,10,0,0.1403769841269841,0.0328158973423199,0.0046996683731389,0.3155650319829424,0.0,User_501,stable,
706,10,0,0.1403769841269841,0.0428384625452372,0.0007759030114203,0.3025038323965253,0.3333333333333333,User_706,stable,
18,11,0,0.1403769841269841,0.0463107114923484,0.005259793100935,0.3265306122448979,0.0,User_18,stable,
88,11,0,0.1403769841269841,0.0388552974032455,0.0069261029695434,0.3234972677595628,0.0,User_88,stable,
140,11,0,0.1403769841269841,0.0390400430851742,0.005063574857852,0.3299888517279821,0.0,User_140,stable,
144,11,0,0.1403769841269841,0.0416747757881718,0.005073494147392,0.3169164882226981,0.0,User_144,stable,
186,11,0,0.1403769841269841,0.0458805385458622,0.0027207850034643,0.3196544276457883,0.6666666666666666,User_186,stable,
304,11,0,0.1403769841269841,0.0380718693672721,0.0034207459132869,0.3148936170212766,0.0,User_304,stable,
397,11,0,0.1403769841269841,0.0415166083362391,0.0041576394538201,0.3143919277748274,0.0,User_397,stable,
404,11,0,0.1403769841269841,0.039086339819412,0.0038616962539669,0.3135593220338983,0.0,User_404,stable,
532,11,0,0.1403769841269841,0.0414507227841435,0.0049194996298415,0.3243835616438356,0.0,User_532,stable,
598,11,0,0.1403769841269841,0.0495342914700411,0.0059803286127847,0.3086548488008342,0.0,User_598,stable,
680,11,0,0.1403769841269841,0.0509846361176362,0.0024787132642553,0.3099476439790576,0.3333333333333333,User_680,stable,
702,11,0,0.1403769841269841,0.0435970948681464,0.0026825405488906,0.3064182194616977,0.3333333333333333,User_702,stable,
715,11,0,0.1403769841269841,0.0453304363579072,0.0028979595028247,0.310598111227702,0.3333333333333333,User_715,stable,
0,12,0,0.1403769841269841,0.0479720898057119,0.0065599265185261,0.3294379521424596,0.0,User_0,stable,
147,12,0,0.1403769841269841,0.0447896698111142,0.0035713551782765,0.3124010554089709,0.6666666666666666,User_147,stable,
189,12,0,0.1403769841269841,0.0443688242008235,0.0051776285140135,0.3181085437936593,0.0,User_189,stable,
217,12,0,0.1403769841269841,0.0496805449573154,0.0069794217755854,0.3220892274211099,0.3333333333333333,User_217,outgoing,
224,12,0,0.1403769841269841,0.057777760121645,0.0043245910727966,0.3215643671917436,0.0,User_224,stable,
362,12,0,0.1403769841269841,0.0492557993001593,0.0038554767521747,0.3172561629153269,0.0,User_362,stable,
555,12,0,0.1403769841269841,0.0423284286464009,0.0083156781370595,0.3314669652855543,0.0,User_555,stable,
600,12,0,0.1403769841269841,0.0502218495502688,0.0035255075482857,0.3201730665224445,0.3333333333333333,User_600,stable,
