node,centrality,community,density,name,type,betwness,closeness,eign,volatility,anchor_name
2,8,0,0,Alicia Spinnet,incoming,0.001949317738791423,0.5850202429149798,0.3097413843860913,2,Gryffindor
3,8,0,0,Angelina Johnson,incoming,0.001949317738791423,0.5850202429149798,0.3097413843860913,2,Gryffindor
11,4,0,0,Dean Thomas,,0.0,0.5070175438596491,0.11513754272852073,4,Gryffindor
14,1,3,0,Draco Malfoy,outandin,0.0,0.05263157894736842,3.123629876248278e-11,2,Slytherin
17,1,1,0,Ernie Macmillan,outandin,0.0,0.4609250398724083,0.04854140886989624,1,Hufflepuff
19,9,0,0,Fred Weasley,,0.01023391812865497,0.608421052631579,0.32789588537564074,5,Gryffindor
20,9,0,0,George Weasley,,0.01023391812865497,0.608421052631579,0.32789588537564074,5,Gryffindor
21,3,0,0,Ginny Weasley,incoming,0.0029239766081871343,0.49066213921901525,0.09437880181336883,4,Gryffindor
24,1,1,0,Hannah Abbott,outandin,0.0,0.4609250398724083,0.04854140886989624,1,Hufflepuff
25,17,0,0,Harry James Potter,,0.466374269005848,0.8947368421052632,0.3980537052949619,5,Gryffindor
26,8,0,0,Hermione Granger,,0.001949317738791423,0.5850202429149798,0.3097413843860912,5,Gryffindor
28,1,1,0,Justin Finch-Fletchley,outandin,0.0,0.4609250398724083,0.04854140886989624,1,Hufflepuff
29,7,0,0,Katie Bell,incoming,0.0,0.5633528265107213,0.2754132967142389,3,Gryffindor
33,4,0,0,Lee Jordan,outandin,0.0,0.5070175438596491,0.16702695608578033,1,Gryffindor
39,1,3,0,Marcus Flint,outandin,0.0,0.05263157894736842,3.123629876248278e-11,0,Slytherin
44,4,0,0,Neville Longbottom,,0.0,0.5070175438596491,0.11513754272852073,5,Gryffindor
45,7,0,0,Oliver Wood,incoming,0.0,0.5633528265107213,0.2754132967142389,1,Gryffindor
52,2,0,0,Percy Weasley,,0.0,0.4753289473684211,0.06005071414151646,4,Gryffindor
56,11,0,0,Ronald Weasley,,0.08333333333333333,0.6613272311212814,0.3158282189234041,5,Gryffindor
58,4,0,0,Seamus Finnigan,,0.0,0.5070175438596491,0.11513754272852073,4,Gryffindor
