node,centrality,community,density,eign,betwness,closeness,volatility,name,type,anchor_name
17,6,0,0.2421652421652421,0.0575335178400163,0.0002194703510486,0.3333333333333333,0.3333333333333333,Bahrain,,Saudi Arabia–United Arab Emirates Non-Aligned
33,6,0,0.2421652421652421,0.0327469159313764,0.0067997203819719,0.357630979498861,0.3333333333333333,Côte d’Ivoire,,Saudi Arabia–United Arab Emirates Non-Aligned
46,6,0,0.2421652421652421,0.0335479448241072,0.0011788289316094,0.3284518828451883,0.3333333333333333,Djibouti,,Saudi Arabia–United Arab Emirates Non-Aligned
92,6,0,0.2421652421652421,0.0543212572574706,0.0012767640127644,0.3738095238095238,0.3333333333333333,Comoros,,Saudi Arabia–United Arab Emirates Non-Aligned
99,6,0,0.2421652421652421,0.0440656270443497,0.0014686763027319,0.3473451327433628,0.0,Lebanon,,Saudi Arabia–United Arab Emirates Non-Aligned
102,6,0,0.2421652421652421,0.0448277417000708,0.000140916946382,0.3284518828451883,0.3333333333333333,Sri Lanka,,Saudi Arabia–United Arab Emirates Non-Aligned
127,6,0,0.2421652421652421,0.0410241806123841,0.0007626417778604,0.3376344086021505,0.0,Namibia,,Saudi Arabia–United Arab Emirates Non-Aligned
136,6,0,0.2421652421652421,0.0448946113573165,0.0006194674341666,0.3326271186440678,0.3333333333333333,Oman,,Saudi Arabia–United Arab Emirates Non-Aligned
146,6,0,0.2421652421652421,0.058388352989197,0.000264152106989,0.3354700854700854,0.3333333333333333,Qatar,,Saudi Arabia–United Arab Emirates Non-Aligned
168,6,0,0.2421652421652421,0.0283301812173552,0.0007095373545172,0.3171717171717171,0.3333333333333333,Chad,,Saudi Arabia–United Arab Emirates Non-Aligned
169,6,0,0.2421652421652421,0.0364168859291101,0.0012160207941465,0.3405639913232104,0.3333333333333333,Togo,,Saudi Arabia–United Arab Emirates Non-Aligned
61,7,0,0.2421652421652421,0.0496671161555195,0.0024270271311085,0.3729216152019002,0.3333333333333333,Gabon,,Saudi Arabia–United Arab Emirates Non-Aligned
81,7,0,0.2421652421652421,0.0414372193212602,0.0028548178033336,0.3496659242761692,0.6666666666666666,Iraq,,Saudi Arabia–United Arab Emirates Non-Aligned
109,7,0,0.2421652421652421,0.0442424536687229,0.0011848723196246,0.3390928725701944,0.3333333333333333,Morocco,,Saudi Arabia–United Arab Emirates Non-Aligned
66,9,0,0.2421652421652421,0.0681385801803224,0.0035621965204893,0.3568181818181818,0.3333333333333333,Gambia,,Saudi Arabia–United Arab Emirates Non-Aligned
53,11,0,0.2421652421652421,0.0699379211617331,0.0030386775896149,0.360091743119266,0.0,Egypt,,Saudi Arabia–United Arab Emirates Non-Aligned
119,11,0,0.2421652421652421,0.0884392644476351,0.0042272659636049,0.3857493857493858,0.3333333333333333,Mauritania,,Saudi Arabia–United Arab Emirates Non-Aligned
122,11,0,0.2421652421652421,0.093816120278989,0.009459092540968,0.3829268292682927,0.3333333333333333,Maldives,,Saudi Arabia–United Arab Emirates Non-Aligned
128,11,0,0.2421652421652421,0.0907289954858657,0.0056012209651837,0.3848039215686274,0.3333333333333333,Niger,,Saudi Arabia–United Arab Emirates Non-Aligned
158,11,0,0.2421652421652421,0.0691711884798238,0.0027237604323468,0.3473451327433628,0.3333333333333333,Sierra Leone,,Saudi Arabia–United Arab Emirates Non-Aligned
174,11,0,0.2421652421652421,0.0869390911111118,0.0086564148679092,0.3895781637717121,0.3333333333333333,Tunisia,,Saudi Arabia–United Arab Emirates Non-Aligned
96,14,0,0.2421652421652421,0.1262590659538691,0.0133272997071845,0.4175531914893617,0.3333333333333333,Kuwait,,Saudi Arabia–United Arab Emirates Non-Aligned
68,16,0,0.2421652421652421,0.0649274242933649,0.0300571241691785,0.3886138613861386,0.3333333333333333,Equatorial Guinea,,Saudi Arabia–United Arab Emirates Non-Aligned
1,17,0,0.2421652421652421,0.1268653634759025,0.0210255163709049,0.4077922077922078,0.3333333333333333,United Arab Emirates,,Saudi Arabia–United Arab Emirates Non-Aligned
30,17,0,0.2421652421652421,0.0802631614870033,0.0264544009802012,0.3764988009592326,0.3333333333333333,Central African Republic,,Saudi Arabia–United Arab Emirates Non-Aligned
160,17,0,0.2421652421652421,0.1077260587879292,0.0137851207315588,0.3925,0.3333333333333333,Senegal,,Saudi Arabia–United Arab Emirates Non-Aligned
150,26,0,0.2421652421652421,0.1898760646463719,0.0311157585940476,0.4099216710182767,0.0,Saudi Arabia,,Saudi Arabia–United Arab Emirates Non-Aligned
8,6,1,0.4615384615384615,0.0051929529467852,0.0010343513528226,0.3121272365805169,0.3333333333333333,Austria,,Liechtenstein–Samoa Non-Aligned
9,6,1,0.4615384615384615,0.0013809835182642,0.0017066797321574,0.2798573975044563,0.0,Australia,,Liechtenstein–Samoa Non-Aligned
47,6,1,0.4615384615384615,0.0007004862185186,0.0011432304425935,0.2464678178963893,0.0,Denmark,,Liechtenstein–Samoa Non-Aligned
57,6,1,0.4615384615384615,0.0056369344460561,0.0045266481572214,0.3237113402061856,0.3333333333333333,Finland,,Liechtenstein–Samoa Non-Aligned
135,6,1,0.4615384615384615,0.0013679444697818,0.0,0.2759226713532513,0.0,New Zealand,,Liechtenstein–Samoa Non-Aligned
154,6,1,0.4615384615384615,0.0056369344460561,0.0045266481572214,0.3237113402061856,0.0,Sweden,,Liechtenstein–Samoa Non-Aligned
176,6,1,0.4615384615384615,0.0193534991184853,0.1507430997876857,0.3792270531400966,0.0,Turkey,,Liechtenstein–Samoa Non-Aligned
78,7,1,0.4615384615384615,0.0022375691125431,0.0019571016386303,0.2839059674502712,0.3333333333333333,Ireland,,Liechtenstein–Samoa Non-Aligned
83,7,1,0.4615384615384615,0.0013953697573842,0.0175485872938102,0.2813620071684587,0.0,Iceland,,Liechtenstein–Samoa Non-Aligned
132,7,1,0.4615384615384615,0.0015267229438688,0.0,0.2803571428571428,0.0,Norway,,Liechtenstein–Samoa Non-Aligned
69,9,1,0.4615384615384615,0.0123881968349295,0.0298987842777651,0.360091743119266,0.0,Greece,,Liechtenstein–Samoa Non-Aligned
190,12,1,0.4615384615384615,0.0458882137959522,0.0419266359658341,0.4005102040816326,0.3333333333333333,Samoa,,Liechtenstein–Samoa Non-Aligned
101,17,1,0.4615384615384615,0.0129582400848051,0.112065175992572,0.3642691415313225,0.3333333333333333,Liechtenstein,incoming,Liechtenstein–Samoa Non-Aligned
79,6,2,0.7272727272727273,5.492013449111957e-05,8.165931732810714e-05,0.1943069306930693,0.0,Israel,,US-aligned
183,6,2,0.7272727272727273,4.223414533111294e-05,8.165931732810714e-05,0.1943069306930693,0.0,United States,,US-aligned
60,7,2,0.7272727272727273,8.459407227837793e-05,0.0004899559039686,0.2012820512820513,0.0,France,,US-aligned
87,7,2,0.7272727272727273,0.0002674495209012,0.009962436714029,0.237518910741301,0.3333333333333333,Japan,,US-aligned
28,8,2,0.7272727272727273,0.0002022547068225,0.0054983940334258,0.2262247838616714,0.0,Canada,,US-aligned
62,8,2,0.7272727272727273,9.30221320750008e-05,0.0001633186346562,0.194789081885856,0.0,United Kingdom,,US-aligned
84,9,2,0.7272727272727273,0.0002779264581261,0.0159916163100876,0.2382397572078907,0.3333333333333333,Italy,,US-aligned
143,9,2,0.7272727272727273,0.0002806065775103,0.0,0.2382397572078907,0.3333333333333333,Portugal,,US-aligned
131,10,2,0.7272727272727273,0.0001245409540346,6.804943110675594e-05,0.202059202059202,0.0,Netherlands,,US-aligned
14,11,2,0.7272727272727273,0.0002835313970665,0.0135690565626871,0.2389649923896499,0.0,Belgium,,US-aligned
55,11,2,0.7272727272727273,0.0025219850196316,0.1245631226522946,0.3036750483558994,0.3333333333333333,Spain,,US-aligned
106,11,2,0.7272727272727273,0.0002850981653858,0.0160732756274157,0.2389649923896499,0.0,Luxembourg,,US-aligned
24,6,3,0.2516129032258064,0.0311771315441485,0.0016808559781775,0.3291404612159329,0.3333333333333333,Bhutan,,Russia/USSR-aligned
39,6,3,0.2516129032258064,0.0252437670528983,0.009448307059772,0.3783132530120482,0.3333333333333333,Czechoslovakia,,Russia/USSR-aligned
40,6,3,0.2516129032258064,0.0180715295336652,0.0005116248204348,0.3013435700575815,0.0,Cuba,,Russia/USSR-aligned
76,6,3,0.2516129032258064,0.0257730412808331,0.0328588152973578,0.3801452784503632,0.3333333333333333,Hungary,,Russia/USSR-aligned
108,6,3,0.2516129032258064,0.0284947672277459,0.0010118403400146,0.3054474708171206,0.3333333333333333,Libya,,Russia/USSR-aligned
121,6,3,0.2516129032258064,0.0453737651899801,0.0027133876166032,0.360091743119266,0.3333333333333333,Mauritius,,Russia/USSR-aligned
130,6,3,0.2516129032258064,0.0376246183369659,0.0006235169035664,0.3291404612159329,0.0,Nicaragua,,Russia/USSR-aligned
142,6,3,0.2516129032258064,0.0101036577136259,0.0010615711252653,0.2808586762075134,0.0,Poland,,Russia/USSR-aligned
166,6,3,0.2516129032258064,0.0153595461290789,0.0006086406568513,0.2918215613382899,0.0,Syria,,Russia/USSR-aligned
2,7,3,0.2516129032258064,0.0396678319741157,0.0021585419020197,0.3496659242761692,0.0,Afghanistan,,Russia/USSR-aligned
6,7,3,0.2516129032258064,0.0210988951523727,0.000573571405736,0.3019230769230769,0.3333333333333333,Angola,,Russia/USSR-aligned
