node,centrality,community,density,betwness,closeness,eign,volatility,type,name
4929,1,0,0.11724137931034483,0.0,0.055515971217224,1.2835287258855032e-08,2,incoming,Robert A. Amar
2801,1,0,0.11724137931034483,0.0,0.049227625065429007,1.1928689894226789e-09,1,incoming,Jinwook Seo
4198,2,0,0.11724137931034483,0.0,0.044047995200266844,9.612652447720571e-11,2,incoming,Mohammad Ghoniem
4638,2,0,0.11724137931034483,0.0,0.044047995200266844,9.612652447720572e-11,2,outandin,Philippe Castagliola
2574,2,0,0.11724137931034483,0.0,0.05553099990461362,1.382568286599009e-08,2,outandin,Jaroslav Tyman
2008,2,0,0.11724137931034483,0.0,0.05553099990461362,1.382568286599009e-08,2,outandin,Grant P. Gruetzmacher
3741,2,0,0.11724137931034483,0.0,0.04919220950782798,1.2882439430421437e-09,2,outandin,Marjan Trutschl
5899,2,0,0.11724137931034483,0.0,0.04919220950782798,1.2882439430421437e-09,2,outandin,Urska Cvek
3842,2,0,0.11724137931034483,0.002705974506871751,0.04932231633749523,1.1995647927060856e-09,2,incoming,Martin Wattenberg
2679,2,0,0.11724137931034483,0.0,0.04929860938419675,1.2971756236385539e-09,2,outandin,Jesse Grosjean
2612,3,0,0.11724137931034483,0.001358464934623875,0.04929860938419675,1.2146394088610266e-09,1,incoming,Jean-Daniel Fekete
634,3,0,0.11724137931034483,0.0,0.04408586151894319,1.1407928019007746e-10,1,incoming,Bongshin Lee
3849,3,0,0.11724137931034483,0.0,0.04408586151894319,1.1407928019007746e-10,2,incoming,Mary Czerwinski
1927,3,0,0.11724137931034483,0.0,0.04408586151894319,1.1407928019007746e-10,2,,George G. Robertson
939,3,0,0.11724137931034483,0.0,0.05554603673101616,1.498553453893549e-08,2,outandin,Christoph Csallner
3696,3,0,0.11724137931034483,0.0,0.05554603673101616,1.498553453893549e-08,2,outandin,Marcus Handte
4427,3,0,0.11724137931034483,0.0,0.05554603673101616,1.498553453893549e-08,2,outandin,Othmar Lehmann
2519,3,0,0.11724137931034483,0.0,0.05554603673101616,1.498553453893549e-08,4,incoming,James R. Eagan
3850,3,0,0.11724137931034483,0.0,0.05554603673101616,1.498553453893549e-08,2,outandin,Mary Jean Harrold
2493,3,0,0.11724137931034483,0.0,0.05554603673101616,1.498553453893549e-08,2,outandin,James A. Jones
3123,3,0,0.11724137931034483,0.0,0.039870070679813935,7.91079685864561e-12,2,outandin,Ka-Ping Yee
4761,3,0,0.11724137931034483,0.0,0.039870070679813935,7.91079685864561e-12,2,outandin,Rachna Dhamija
3809,3,0,0.11724137931034483,0.0,0.039870070679813935,7.91079685864561e-12,3,outandin,Marti A. Hearst
168,4,0,0.11724137931034483,0.0,0.05580291448521292,1.642225227733588e-08,2,outandin,Alfred Kobsa
1195,4,0,0.11724137931034483,0.0020335891410448127,0.04411430401024574,8.959927335872257e-11,2,incoming,Danyel Fisher
526,5,0,0.11724137931034483,0.0020335891410448127,0.049334178366436436,1.3210725065811174e-09,3,,Benjamin B. Bederson
522,6,0,0.11724137931034483,0.004049375818228627,0.05589414540807703,1.6585154510651384e-08,1,,Ben Shneiderman
1938,6,0,0.11724137931034483,0.001358464934623875,0.055833291684170575,1.6597936093296007e-08,1,,Georges G. Grinstein
788,7,0,0.11724137931034483,0.0053886688686945045,0.05592462204134206,1.6683675212908707e-08,1,incoming,Catherine Plaisant
2923,14,0,0.11724137931034483,0.01891169430156826,0.0641436878197757,1.817519780570263e-07,1,,John T. Stasko
3886,1,1,0.11522048364153627,0.0,0.08175827566665711,4.389409563365501e-05,2,outandin,Matt Williams
3496,1,1,0.11522048364153627,0.0,0.08175827566665711,4.389409563365501e-05,2,outandin,Lior Berry
1944,1,1,0.11522048364153627,0.0,0.06855999787688592,3.5923972668821308e-06,2,outandin,Gerald Gainant
5521,1,1,0.11522048364153627,0.0,0.07572222726011173,1.6906186155917945e-05,2,outandin,Steven A. Morris
5523,1,1,0.11522048364153627,0.0,0.08175827566665711,4.389409563365501e-05,2,outandin,Steven C. North
177,2,1,0.11522048364153627,0.0,0.0835906738580451,0.0028295048069960833,1,incoming,Alireza Entezari
4799,2,1,0.11522048364153627,0.0,0.0835906738580451,0.0028295048069960833,2,outandin,Ramsay Dyer
2427,2,1,0.11522048364153627,0.0,0.058911979795417194,3.157329680284579e-07,2,outandin,Ivan Herman
3600,2,1,0.11522048364153627,0.0,0.058911979795417194,3.157329680284579e-07,2,outandin,M. Scott Marshall
6012,3,1,0.11522048364153627,0.0,0.08169315557452914,5.4563993835244155e-05,2,outandin,Wei Peng
3938,3,1,0.11522048364153627,0.0,0.08201979754004106,5.10052045297559e-05,2,outandin,Maylis Delest
2622,3,1,0.11522048364153627,0.0,0.08201979754004106,5.10052045297559e-05,2,outandin,Jean-Philippe Domenger
6480,3,1,0.11522048364153627,0.0,0.06865177832919768,4.176528936953164e-06,4,outandin,Yves Chiricota
1717,3,1,0.11522048364153627,0.0,0.06865177832919768,4.176528936953164e-06,2,outandin,Fabien Jourdan
1949,3,1,0.11522048364153627,0.0,0.08169315557452914,5.364374722631654e-05,2,outandin,Geraldine E. Rosario
1226,3,1,0.11522048364153627,0.0,0.08169315557452914,5.364374722631654e-05,2,outandin,David C. Brown
