community,count
131,1
178,1
116,1
160,1
179,1
3,1
82,1
174,1
156,1
163,1
84,1
73,1
89,1
63,1
117,1
139,1
57,1
141,1
138,1
136,1
140,1
111,1
113,1
120,1
115,1
17,1
38,1
151,2
123,2
155,2
145,2
142,2
135,2
129,2
127,2
60,2
24,2
51,2
2,2
39,2
9,2
31,2
152,2
36,2
6,2
118,2
54,2
169,2
74,2
78,2
173,2
161,2
102,2
101,2
107,2
69,2
97,2
79,2
96,2
92,2
121,2
181,2
177,2
168,2
90,2
164,2
172,2
162,3
167,3
7,3
23,3
98,3
171,3
180,3
86,3
68,3
80,3
158,3
122,3
94,3
159,3
66,3
157,3
83,3
153,3
132,3
130,3
124,3
41,3
58,3
16,3
146,3
35,3
104,3
99,3
147,3
149,3
126,3
27,3
34,3
143,3
56,4
112,4
183,4
109,4
76,4
52,4
33,4
166,4
93,4
48,4
100,4
50,4
134,4
14,4
67,4
128,4
46,4
137,4
148,4
154,4
70,4
22,4
45,5
182,5
28,5
114,5
26,5
72,5
25,5
87,5
105,5
175,5
32,5
64,5
44,5
170,6
59,6
165,6
125,6
61,6
53,6
62,7
133,7
77,7
47,7
49,7
75,7
150,7
55,7
81,8
176,8
103,8
119,8
10,8
71,9
110,9
43,9
95,10
85,10
20,11
88,11
11,12
65,12
91,12
12,14
108,15
144,15
37,16
106,18
18,18
29,19
40,29
0,30
42,30
5,32
15,34
1,38
19,41
21,42
8,43
30,49
4,53
13,75
