community,count
100,2
68,2
11,1
24,4
7,1
72,1
73,1
112,1
87,1
13,2
41,2
92,2
114,2
6,3
9,3
110,2
54,2
93,2
76,3
81,3
79,3
108,2
21,2
70,2
103,2
66,2
99,2
28,2
38,2
22,4
109,3
96,4
115,3
106,3
80,3
105,3
69,5
101,4
91,4
48,4
30,4
67,3
34,3
77,3
74,3
78,3
33,3
18,5
85,4
102,6
82,4
90,4
36,6
4,4
84,4
89,4
98,4
39,4
32,4
5,4
56,4
46,4
63,4
113,6
40,5
44,5
97,5
94,5
23,5
60,5
111,5
31,5
27,5
88,5
86,5
83,5
55,7
65,9
58,6
49,6
104,6
71,6
20,8
51,8
62,7
8,9
107,9
61,10
37,10
59,12
50,13
95,14
52,14
75,14
43,14
47,17
45,23
64,21
16,24
15,34
19,34
25,42
29,41
17,39
3,41
42,48
1,55
57,55
53,66
12,77
0,74
14,72
10,76
2,76
26,84
35,111
