node,x_pos,y_pos
0,0.138637701383914,0.2517581001622423
1,0.4237993382393317,0.09166813434462706
2,-0.29287148359269144,-0.24108153998849255
3,0.4318093548226017,0.38351028963109735
4,0.054633285360381034,-0.04222488424949145
5,0.046700461931939184,0.7236826591217743
6,-0.13006684456485446,0.326858273405349
7,-0.2687818192956837,0.053127708221003184
8,0.2869233413092125,-0.41888363253424576
9,-0.14233006383137906,-0.6071579317288381
10,0.4515467282372303,-0.1578510982227636
11,-1.0,-0.36340607816226067
