node,centrality,community,density,betwness,closeness,eign,volatility,type,name
2294,1,0,1.0,0.0,0.0006906077348066298,4.146313076671794e-34,2,outgoing,Ho-Lun Cheng
6227,1,0,1.0,0.0,0.0006906077348066298,4.146313076671794e-34,2,outgoing,Xinwei Shi
4860,0,1,0.0,0.0,0.0,1.2067359280399378e-44,2,,Renato Pajarola
1950,3,2,1.0,0.0,0.0020718232044198894,1.4246623250625995e-23,2,outandin,Gerard Lommerse
1860,3,2,1.0,0.0,0.0020718232044198894,1.4246623250625995e-23,2,outandin,Freek Nossin
3553,3,2,1.0,0.0,0.0020718232044198894,1.4246623250625995e-23,2,outgoing,Lucian Voinea
160,3,2,1.0,0.0,0.0020718232044198894,1.4246623250625995e-23,2,,Alexandru C. Telea
3424,1,3,0.14855072463768115,0.0,0.04940992387161746,8.544608895807896e-12,2,outandin,Lee Byron
578,1,3,0.14855072463768115,0.0,0.050420779456997994,2.8489826136554336e-11,1,outgoing,Bernice E. Rogowitz
276,1,3,0.14855072463768115,0.0,0.04869733469018487,4.698653408081287e-12,2,outandin,Andrei C. Jalba
2945,2,3,0.14855072463768115,0.0,0.049415617571072594,1.7033643574334448e-11,2,outandin,Jonathan Feinberg
1947,2,3,0.14855072463768115,0.0,0.05928780993802958,5.79126945659229e-10,2,outandin,Gerald Penn
50,2,3,0.14855072463768115,0.004193277957154968,0.06145438940696016,3.915773223914078e-09,2,incoming,Adam Perer
5901,2,3,0.14855072463768115,0.0,0.05919778151322031,5.692144446987538e-10,3,outandin,Uta Hinrichs
2303,2,3,0.14855072463768115,0.0,0.05919778151322031,5.692144446987538e-10,2,outandin,Holly Schmidt
2496,2,3,0.14855072463768115,0.0,0.05042670852325587,3.105173569994893e-11,2,outgoing,James Abello
4305,2,3,0.14855072463768115,0.0,0.05042670852325587,3.105173569994893e-11,2,outandin,Neeraj Krishnan
1567,2,3,0.14855072463768115,0.0,0.05923048746985745,5.703877883589105e-10,2,outandin,Elena Fanea
3605,3,3,0.14855072463768115,0.0,0.05346991636929775,5.6814465789798066e-11,2,incoming,Maarten H. Everts
2261,3,3,0.14855072463768115,0.0,0.05346991636929775,5.6814465789798066e-11,2,outandin,Henk Bekker
3718,3,3,0.14855072463768115,0.0,0.05929600792059845,6.304357296319155e-10,2,incoming,Marian Dörk
751,3,3,0.14855072463768115,0.0,0.05929600792059845,6.304357296319155e-10,2,incoming,Carey L. Williamson
2976,4,3,0.14855072463768115,0.0007512208532036181,0.05347658427257363,5.717430333634837e-11,2,incoming,Jos B. T. M. Roerdink
2680,4,3,0.14855072463768115,0.0,0.05066502000020888,4.963872185075867e-11,2,outandin,Jesse Kriss
3903,4,3,0.14855072463768115,0.0,0.05066502000020888,4.963872185075867e-11,2,outandin,Matthew M. McKeon
5808,5,3,0.14855072463768115,0.002993428965243388,0.05926322958565063,5.833485813035949e-10,1,incoming,Tobias Isenberg 0001
1775,6,3,0.14855072463768115,0.0007542668061955445,0.05433025836586443,1.0287319039172487e-10,4,outgoing,Fernanda B. Viégas
969,6,3,0.14855072463768115,0.0033036579781197777,0.05950169686163007,6.89689729446916e-10,1,incoming,Christopher Collins 0001
3842,7,3,0.14855072463768115,0.0015054876593991614,0.05433714258512012,1.0353087277156635e-10,2,,Martin Wattenberg
1835,8,3,0.14855072463768115,0.003589937658426601,0.05556215720157657,3.490742292784375e-10,2,outgoing,Frank van Ham
5312,10,3,0.14855072463768115,0.011999174580068845,0.06640271435146608,6.481755145250812e-09,1,,Sheelagh Carpendale
1399,0,4,0.0,0.0,0.0,1.2067359280399378e-44,2,,Diansheng Guo
2349,1,5,0.11152882205513784,0.0,0.07324145675179641,2.857587839415358e-09,3,incoming,Hui Zhang 0006
3958,2,5,0.11152882205513784,0.0,0.07359339785168491,1.6583522700117043e-08,2,outandin,Melanie Görner
5887,2,5,0.11152882205513784,0.0,0.07360602974283692,2.419356677733393e-08,2,outandin,Ulrich Bartling
2811,2,5,0.11152882205513784,0.0,0.07354291361374858,1.5528145716137397e-08,2,outandin,Joachim Böttger
