node,centrality,community,density,name,type,betwness,closeness,eign,volatility,anchor_name
7,2,1,0,Cedric Diggory,outandin,0.0,0.5238095238095238,0.13025512625273555,0,Hufflepuff
8,2,2,0,Cho Chang,,0.0,0.5238095238095238,0.13025512625273555,2,Ravenclaw
9,2,0,0,Colin Creevey,outandin,0.0,0.5238095238095238,0.13025512625273555,0,Gryffindor
13,2,0,0,Dennis Creevey,outandin,0.0,0.5238095238095238,0.13025512625273555,0,Gryffindor
19,5,0,0,Fred Weasley,,0.18181818181818182,0.6470588235294118,0.3523543848581145,5,Gryffindor
20,4,0,0,George Weasley,,0.0,0.6111111111111112,0.34010579290652115,5,Gryffindor
21,1,0,0,Ginny Weasley,,0.0,0.4074074074074074,0.07210433484874915,4,Gryffindor
25,10,0,0,Harry James Potter,,0.6454545454545454,0.9166666666666666,0.506261798339781,5,Gryffindor
26,5,0,0,Hermione Granger,,0.01818181818181818,0.6470588235294118,0.38563224783539535,5,Gryffindor
44,3,0,0,Neville Longbottom,,0.0,0.55,0.2680014580579296,5,Gryffindor
52,2,0,0,Percy Weasley,,0.0,0.5238095238095238,0.18908724010919517,4,Gryffindor
56,6,0,0,Ronald Weasley,,0.06363636363636363,0.6875,0.4177532829507675,5,Gryffindor
